metric,condition_id,condition_label,total_steps_est,mean,std,runs
Train_mean_reward,E0,four_leg_stand,2039808,33.52421188354492,0.0,1
Train_mean_reward,E0,four_leg_stand,2064384,33.66029357910156,0.0,1
Train_mean_reward,E0,four_leg_stand,2088960,35.31365203857422,0.0,1
Train_mean_reward,E0,four_leg_stand,2113536,35.50973892211914,0.0,1
Train_mean_reward,E0,four_leg_stand,2138112,35.66086196899414,0.0,1
Train_mean_reward,E0,four_leg_stand,2162688,35.755821228027344,0.0,1
Train_mean_reward,E0,four_leg_stand,2187264,35.80570602416992,0.0,1
Train_mean_reward,E0,four_leg_stand,2211840,35.86427307128906,0.0,1
Train_mean_reward,E0,four_leg_stand,2236416,35.95153045654297,0.0,1
Train_mean_reward,E0,four_leg_stand,2260992,36.37538146972656,0.0,1
Train_mean_reward,E0,four_leg_stand,2285568,36.57228088378906,0.0,1
Train_mean_reward,E0,four_leg_stand,2310144,36.69273376464844,0.0,1
Train_mean_reward,E0,four_leg_stand,2334720,36.787818908691406,0.0,1
Train_mean_reward,E0,four_leg_stand,2359296,36.83477020263672,0.0,1
Train_mean_reward,E0,four_leg_stand,2383872,36.85752487182617,0.0,1
Train_mean_reward,E0,four_leg_stand,2408448,36.92045593261719,0.0,1
Train_mean_reward,E0,four_leg_stand,2433024,36.941444396972656,0.0,1
Train_mean_reward,E0,four_leg_stand,2457600,36.98796081542969,0.0,1
Train_mean_reward,E0,four_leg_stand,2482176,37.03351593017578,0.0,1
Train_mean_reward,E0,four_leg_stand,2506752,37.07355499267578,0.0,1
Train_mean_reward,E0,four_leg_stand,2531328,37.12762451171875,0.0,1
Train_mean_reward,E0,four_leg_stand,2555904,37.16116714477539,0.0,1
Train_mean_reward,E0,four_leg_stand,2580480,37.361289978027344,0.0,1
Train_mean_reward,E0,four_leg_stand,2605056,37.84234619140625,0.0,1
Train_mean_reward,E0,four_leg_stand,2629632,37.90904998779297,0.0,1
Train_mean_reward,E0,four_leg_stand,2654208,37.95298767089844,0.0,1
Train_mean_reward,E0,four_leg_stand,2678784,37.99349212646485,0.0,1
Train_mean_reward,E0,four_leg_stand,2703360,38.006813049316406,0.0,1
Train_mean_reward,E0,four_leg_stand,2727936,38.03335571289063,0.0,1
Train_mean_reward,E0,four_leg_stand,2752512,38.06122589111328,0.0,1
Train_mean_reward,E0,four_leg_stand,2777088,38.22182083129883,0.0,1
Train_mean_reward,E0,four_leg_stand,2801664,38.27458190917969,0.0,1
Train_mean_reward,E0,four_leg_stand,2826240,38.31901168823242,0.0,1
Train_mean_reward,E0,four_leg_stand,2850816,38.35453414916992,0.0,1
Train_mean_reward,E0,four_leg_stand,2875392,38.37099838256836,0.0,1
Train_mean_reward,E0,four_leg_stand,2899968,38.37534332275391,0.0,1
Train_mean_reward,E0,four_leg_stand,2924544,38.39595031738281,0.0,1
Train_mean_reward,E0,four_leg_stand,2949120,38.403839111328125,0.0,1
Train_mean_reward,E0,four_leg_stand,2973696,38.41787338256836,0.0,1
Train_mean_reward,E0,four_leg_stand,2998272,38.439151763916016,0.0,1
Train_mean_reward,E0,four_leg_stand,3022848,38.45698928833008,0.0,1
Train_mean_reward,E0,four_leg_stand,3047424,38.471900939941406,0.0,1
Train_mean_reward,E0,four_leg_stand,3072000,38.48862075805664,0.0,1
Train_mean_reward,E0,four_leg_stand,3096576,38.64198684692383,0.0,1
Train_mean_reward,E0,four_leg_stand,3121152,38.78052520751953,0.0,1
Train_mean_reward,E0,four_leg_stand,3145728,38.81504440307617,0.0,1
Train_mean_reward,E0,four_leg_stand,3170304,38.8385124206543,0.0,1
Train_mean_reward,E0,four_leg_stand,3194880,38.85486602783203,0.0,1
Train_mean_reward,E0,four_leg_stand,3219456,38.85783767700195,0.0,1
Train_mean_reward,E0,four_leg_stand,3244032,38.86994934082031,0.0,1
Train_mean_reward,E0,four_leg_stand,3268608,38.89642333984375,0.0,1
Train_mean_reward,E0,four_leg_stand,3293184,38.97428512573242,0.0,1
Train_mean_reward,E0,four_leg_stand,3317760,39.0026969909668,0.0,1
Train_mean_reward,E0,four_leg_stand,3342336,39.01904296875,0.0,1
Train_mean_reward,E0,four_leg_stand,3366912,39.038330078125,0.0,1
Train_mean_reward,E0,four_leg_stand,3391488,39.044715881347656,0.0,1
Train_mean_reward,E0,four_leg_stand,3416064,39.0529670715332,0.0,1
Train_mean_reward,E0,four_leg_stand,3440640,39.06344604492188,0.0,1
Train_mean_reward,E0,four_leg_stand,3465216,39.06744003295898,0.0,1
Train_mean_reward,E0,four_leg_stand,3489792,39.075565338134766,0.0,1
Train_mean_reward,E0,four_leg_stand,3514368,39.08619689941406,0.0,1
Train_mean_reward,E0,four_leg_stand,3538944,39.09628677368164,0.0,1
Train_mean_reward,E0,four_leg_stand,3563520,39.10520935058594,0.0,1
Train_mean_reward,E0,four_leg_stand,3588096,39.11503219604492,0.0,1
Train_mean_reward,E0,four_leg_stand,3612672,39.229740142822266,0.0,1
Train_mean_reward,E0,four_leg_stand,3637248,39.25958633422852,0.0,1
Train_mean_reward,E0,four_leg_stand,3661824,39.2706413269043,0.0,1
Train_mean_reward,E0,four_leg_stand,3686400,39.28291320800781,0.0,1
Train_mean_reward,E0,four_leg_stand,3710976,39.290557861328125,0.0,1
Train_mean_reward,E0,four_leg_stand,3735552,39.29402923583984,0.0,1
Train_mean_reward,E0,four_leg_stand,3760128,39.30107879638672,0.0,1
Train_mean_reward,E0,four_leg_stand,3784704,39.31847381591797,0.0,1
Train_mean_reward,E0,four_leg_stand,3809280,39.35277557373047,0.0,1
Train_mean_reward,E0,four_leg_stand,3833856,39.36333847045898,0.0,1
Train_mean_reward,E0,four_leg_stand,3858432,39.36904525756836,0.0,1
Train_mean_reward,E0,four_leg_stand,3883008,39.37585067749024,0.0,1
Train_mean_reward,E0,four_leg_stand,3907584,39.37854766845703,0.0,1
