condition_id,condition_label,task,experiment_name,run_name,seed,iteration,total_steps_est,num_envs,num_steps_per_env,run_dir,Episode_Metrics_mean_action_acc,Episode_Reward_action_rate_l2,Episode_Reward_body_ang_vel,Episode_Reward_body_orientation_l2,Episode_Reward_foot_slip,Episode_Reward_is_alive,Episode_Reward_is_terminated,Episode_Reward_joint_acc_l2,Episode_Reward_joint_pos_limits,Episode_Reward_joint_torques_l2,Episode_Reward_joint_vel_l2,Episode_Reward_pose,Episode_Reward_soft_landing,Episode_Reward_stand_still,Episode_Reward_track_angular_velocity,Episode_Reward_track_linear_velocity,Episode_Termination_base_height,Episode_Termination_fell_over,Episode_Termination_illegal_contact,Episode_Termination_time_out,Loss_entropy,Loss_learning_rate,Loss_surrogate,Loss_value,Metrics_landing_force_mean,Metrics_slip_velocity_mean,Metrics_twist_error_vel_xy,Metrics_twist_error_vel_yaw,Perf_collection_time,Perf_learning_time,Perf_total_fps,Policy_mean_std,Train_mean_episode_length,Train_mean_reward
E1,fr_failure_default,Unitree-Go2-FR-Failure-Default-Stand,go2_fr_failure_default_stand,2026-05-03_19-15-47,42,0,48,2,24,logs/rsl_rl/go2_fr_failure_default_stand/2026-05-03_19-15-47,0.7107236385345459,-0.012560010887682438,-0.003967687953263521,-0.00047241177526302636,-0.0008631879463791847,0.01166666578501463,-0.1666666716337204,-0.00044488898129202425,-0.0028198696672916412,-0.00013080915960017592,-0.0010077087208628654,0.002517548156902194,-0.0007825354696251452,-0.004708804655820131,0.005364275071769953,0.0027932345401495695,0.0,0.0,0.4166666567325592,0.0,17.029987335205078,9.999999747378752e-06,0.002464256016537547,2.5256500244140625,113.3068618774414,0.33464697003364563,0.002184980781748891,0.006556706503033638,0.9374744892120361,0.14753484725952148,44.0,1.000338077545166,15.0,-4.129987716674805
E2,fr_failure_tripod,Unitree-Go2-FR-Failure-Tripod-Stand,go2_fr_failure_tripod_stand,2026-05-03_19-15-47,42,0,48,2,24,logs/rsl_rl/go2_fr_failure_tripod_stand/2026-05-03_19-15-47,1.3580271005630493,-0.016540616750717163,-0.0033204134088009596,-0.00022854009876027703,-0.002025576075538993,0.011583331972360611,-0.28333333134651184,-0.000852247525472194,0.0,-9.895290713757277e-05,-0.0008825361728668213,0.004295594524592161,-0.0007601648103445768,-0.0011900363024324179,0.006948109716176987,0.0029256411362439394,0.0,0.0,1.0833333730697632,0.0,17.015716552734375,9.999999747378752e-06,-0.04790728539228439,7.636876583099365,64.04627227783203,0.19584859907627106,0.0019492548890411854,0.005541963968425989,0.9571487903594971,0.07924056053161621,46.0,0.9988866448402405,9.0,-3.999685764312744
E0,four_leg_stand,Unitree-Go2-Stand,go2_stand,2026-05-03_19-15-14,42,0,48,2,24,logs/rsl_rl/go2_stand/2026-05-03_19-15-14,0.8475251793861389,-0.012704462744295597,-0.001861570286564529,-0.00019870023243129253,-0.0014484290732070804,0.011999998241662979,-0.20000000298023224,-0.0007073102169670165,0.0,-0.00013487077376339585,-0.0006310128956101835,0.003276273375377059,-0.0009365229052491486,-0.0017023097025230527,0.009343749843537807,0.004121612291783094,0.0,0.0,0.5,0.0,17.03472900390625,9.999999747378752e-06,-0.05010392516851425,2.1119232177734375,78.12002563476562,0.34045758843421936,0.002715362934395671,0.0032356937881559134,0.8996212482452393,0.06728601455688477,49.0,1.0007872581481934,13.0,-3.8316707611083984
